#,name,date_of_birth,age_on_2026-08-17,public_role,source_url,source_type,rights_note
11,Esmery Martinez,2000-05-01,26,Basketball player,https://www.wnba.com/player/1642318/esmery-martinez,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
12,Ceylin del Carmen Alvarado,1998-08-06,28,Cyclist,https://commons.wikimedia.org/wiki/File:2025_LBL_Presentation_-_Ceylin_del_Carmen_Alvarado.jpg,Wikimedia Commons,Check the linked Wikimedia Commons file/page for exact license and attribution.
13,Ellie Jean,1997-01-31,29,Footballer,https://commons.wikimedia.org/wiki/File:Ellie_Jean_Gotham_FC_v_Racing_Louisville_3_May_2026-140.jpg,Wikimedia Commons,Check the linked Wikimedia Commons file/page for exact license and attribution.
14,Lucía León,1997-08-14,29,Footballer,https://en.wikipedia.org/wiki/Luc%C3%ADa_Le%C3%B3n,Wikipedia / Commons,Check the linked Wikimedia Commons file/page for exact license and attribution.
15,Dorian McMenemy,1996-10-28,29,Olympic swimmer,https://www.worldaquatics.com/athletes/1000224/dorian-mcmenemy,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
16,Rosa Angelica Santana,1999-05-25,27,Shot putter,https://worldathletics.org/athletes/dominican-republic/rosa-angelica-santana-14749626,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
17,Yaneirys Rodriguez,2000-06-26,26,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/158817,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
18,Alondra Tapia,2004-05-19,22,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/183317,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
19,Flormarie Heredia,2002-10-21,23,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/161506,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
20,Geraldine Gonzalez,2002-04-18,24,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/149530,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
21,Massiel Matos,1998-04-16,28,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/139911,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
22,Camila De la Rosa,2001-07-02,25,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/157907,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
23,Florangel Terrero,2003-01-03,23,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/185978,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
24,Brayelin Martinez,1996-09-11,29,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/123982,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
25,Jineiry Martinez,1997-12-03,28,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/139910,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
26,Gaila Gonzalez,1997-06-25,29,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/139927,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
27,Larysmer Martinez,1996-10-18,29,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/139913,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
28,Katielle Alonzo,2005-09-30,20,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2023/players/183316,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
29,Vielka Peralta,1999-04-13,27,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/151087,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
30,Ariana Rodriguez Fung,2005-11-03,20,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2023/players/181899,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
31,Angelica Hinojosa,1997-01-10,29,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/143961,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
32,Natalia Martinez,2000-11-25,25,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/139923,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
33,Madeline Guillen,2001-06-04,25,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/149531,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
34,Samaret Caraballo,1999-07-08,27,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/162342,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
35,Iliana Rodriguez Fung,2001-06-17,25,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/182751,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
36,Yanlis Feliz Sena,2000-06-03,26,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/157914,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
37,Ailyn Liberato,2005-04-05,21,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2023/players/173526,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
38,Selanny Puente Estrella,2005-08-04,21,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2023/players/183310,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
39,Esthefany Rabit,2002-01-18,24,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/168727,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
40,Ana Patricia Encarnacion Montero,2008-06-13,18,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/girls-u17-world-championship/2024/players/206369,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
41,Thais Chantal Cocly Vasquez,2007-12-20,18,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2025/players/191765,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
42,Estel Santos Mateo,2008-03-27,18,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2025/players/206587,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
43,Aurelina Ruiz Rosario,2007-03-19,19,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2025/players/213373,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
44,Julie Millaray Arias Alejo,2007-07-12,19,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2025/players/191753,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
45,Valerie Mariel Vargas Guzman,2008-05-13,18,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2025/players/213380,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
46,Harleny Linette De los Santos Baez,2007-11-20,18,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2025/players/223204,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
47,Jakarlis Marianni Lima Garcia,2007-07-04,19,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2025/players/213386,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
48,Glorybell Puente Estrella,2006-12-01,19,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2025/players/191891,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
49,Jismeily Flete Savinon,2006-05-02,20,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2025/players/191755,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
50,Dilenny Michel Maleno Mendez,2006-07-20,20,Volleyball player,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2023/players/191771,Official profile,Official-profile image; source copyright and personality/publicity rights apply.
